STATE,COUNTY,TRACT,BLOCK_GROUP,NAME,GEOID,GEOIDbg,total_pop,total_occupied,total_occupied_renter,total_occupied_owner,total_vacant,seasonal_vacancy,total_dwellings,income_median,moveinyear_all_trimean,moveinyear_owner_trimean,moveinyear_renter_trimean,moveinyear_pct_new_all,moveinyear_pct_new_owner,moveinyear_pct_new_total_owner,moveinyear_pct_new_renter,moveinyear_pct_new_total_renter,rent_lower_quartile,rent_median,rent_upper_quartile,rent_trimean,rentpctincome_median,seasonal_vacancy_pct
36,021,001800,2,Block Group 2; Census Tract 18; Columbia County; New York,36021001800,360210018002,1128,429,39,390,175,128,604,85089.0,2004.0,2002.0,2013.0,0.0,0.0,0.0,0.0,0.0,528.0,625.0,1078.0,714.0,0.15572166581381616,0.2119205298013245
36,021,001900,1,Block Group 1; Census Tract 19; Columbia County; New York,36021001900,360210019001,1177,425,69,356,85,40,510,83875.0,2006.0,2004.0,2016.0,0.0,0.0,0.0,0.0,0.0,710.0,1080.0,1546.0,1104.0,0.36073708502571095,0.0784313725490196
36,021,001900,2,Block Group 2; Census Tract 19; Columbia County; New York,36021001900,360210019002,926,372,64,308,85,46,457,110357.0,2007.0,2006.0,2013.0,0.016129032258064516,0.0,0.0,0.09375,0.016129032258064516,860.0,920.0,980.0,920.0,0.5056654040522195,0.10065645514223195
36,021,002000,1,Block Group 1; Census Tract 20; Columbia County; New York,36021002000,360210020001,619,319,48,271,97,65,416,89750.0,2001.0,1998.0,2015.0,0.02821316614420063,0.0,0.0,0.1875,0.02821316614420063,750.0,1075.0,2111.0,1252.75,0.283756080680977,0.15625
36,021,002000,2,Block Group 2; Census Tract 20; Columbia County; New York,36021002000,360210020002,1140,550,106,444,144,66,694,90372.0,2007.0,2003.0,2017.0,0.04909090909090909,0.036036036036036036,0.02909090909090909,0.10377358490566038,0.02,344.0,490.0,1475.0,699.75,0.2776944187961771,0.09510086455331412
36,025,971400,1,Block Group 1; Census Tract 9714; Delaware County; New York,36025971400,360259714001,1008,482,48,434,562,535,1044,90052.0,2006.0,2004.0,2017.0,0.016597510373443983,0.018433179723502304,0.016597510373443983,0.0,0.0,727.0,930.0,1346.0,983.25,0.5013418946565664,0.5124521072796935
36,025,971400,2,Block Group 2; Census Tract 9714; Delaware County; New York,36025971400,360259714002,669,306,87,219,492,466,798,60000.0,2008.0,2006.0,2012.0,0.09477124183006536,0.0,0.0,0.3333333333333333,0.09477124183006536,612.0,616.0,635.0,619.75,0.3742117426361944,0.5839598997493735
36,025,971400,3,Block Group 3; Census Tract 9714; Delaware County; New York,36025971400,360259714003,526,253,95,158,104,76,357,50417.0,2002.0,1995.0,2012.0,0.02766798418972332,0.0189873417721519,0.011857707509881422,0.042105263157894736,0.015810276679841896,635.0,698.0,745.0,694.0,0.32252674262188813,0.21288515406162464
36,025,971400,4,Block Group 4; Census Tract 9714; Delaware County; New York,36025971400,360259714004,582,285,76,209,111,0,396,24089.0,2000.0,1990.0,2016.0,0.056140350877192984,0.03349282296650718,0.02456140350877193,0.11842105263157894,0.031578947368421054,338.0,585.0,693.0,550.25,0.5094079929472115,0.0
36,027,010000,1,Block Group 1; Census Tract 100; Dutchess County; New York,36027010000,360270100001,823,324,219,105,52,15,376,75956.0,2015.0,2011.0,2016.0,0.0,0.0,0.0,0.0,0.0,726.0,1038.0,1144.0,986.5,0.21075046983685344,0.0398936170212766
